degree,specialization,academic_score,marks_10th,marks_12th,skills,core_subjects,projects,internships,experience_years,role
BA,Mechanical Engineering,7.31,83.2,70.0,"SolidWorks, Manufacturing, MATLAB","Solid Mechanics:A,Ansys:C,CAD/CAM:B,Thermodynamics:A,Fluid Mechanics:B","DevOps Pipeline: Jenkins, Docker, Kubernetes; Task Management App: React, Redux, Firebase",,2,UX Designer
B.Tech,Civil Engineering,8.93,86.8,87.1,"Estimation, Site Supervision, Project Management","Structural Analysis:C,Geotechnical Engineering:A,AutoCAD:B","Bridge Design: AutoCAD, Structural Analysis",Structural Intern:4 months,4,Construction Manager
M.Sc,Artificial Intelligence,8.9,92.8,72.7,"Python, Data Analysis, PyTorch, TensorFlow","Deep Learning:B+,Machine Learning:A,Statistics:B+","Portfolio Website: HTML, CSS, JavaScript, Tailwind",Backend Developer:6 months,5,Teaching Professional
B.Tech,Civil Engineering,8.35,91.9,94.7,"Site Supervision, Project Management, Estimation","STAAD Pro:A-,Structural Analysis:B,AutoCAD:A+,Construction Management:B+,Geotechnical Engineering:B+","Residential Complex Planning: Revit, Cost Estimation",Site Engineer:3 months; Site Engineer:3 months,4,Site Engineer
M.Tech,Information Technology,7.38,77.0,70.1,"Linux, Network Administration, SQL, AWS","Cloud Computing:A,Web Technologies:B,Cyber Security:A-,Database Management Systems:C","DevOps Pipeline: Jenkins, Docker, Kubernetes; Task Management App: React, Redux, Firebase",,5,DevOps Engineer
B.Tech,Civil Engineering,9.64,86.7,97.9,"Project Management, Estimation, Site Supervision","STAAD Pro:A+,Construction Management:A,AutoCAD:A+,Structural Analysis:C","Smart City Drainage: STAAD Pro, Surveying; Residential Complex Planning: Revit, Cost Estimation",Structural Intern:4 months,6,Structural Engineer
MA,Data Science,9.76,83.0,82.8,"Python, R, Power BI, SQL, Tableau","Machine Learning:B+,Big Data Analytics:C,Statistics:C,Linear Algebra:C","Task Management App: React, Redux, Firebase; E-commerce API: Node.js, Express, MongoDB",Software Developer:4 months; Backend Developer:4 months,10,Mechanical Engineer
Diploma,Civil Engineering,8.14,79.4,90.0,"Estimation, Project Management, Site Supervision","Construction Management:A-,AutoCAD:A-,Geotechnical Engineering:A-,Structural Analysis:A,STAAD Pro:A-","Smart City Drainage: STAAD Pro, Surveying; Residential Complex Planning: Revit, Cost Estimation",Structural Intern:5 months,0,Structural Engineer
M.Sc,Civil Engineering,8.38,86.7,74.4,"Site Supervision, Estimation, Project Management","Structural Analysis:B+,Construction Management:B+,STAAD Pro:A,Geotechnical Engineering:C,AutoCAD:A","E-commerce API: Node.js, Express, MongoDB; Portfolio Website: HTML, CSS, JavaScript, Tailwind",Frontend Developer:6 months; Frontend Developer:2 months,6,UX Designer
B.Com,Finance,8.26,74.8,87.4,"GST, Financial Modeling, Excel, Tally","Accounting:A-,Investment Analysis:C,Corporate Finance:B,Financial Management:A+,Risk Management:A-","Risk Analysis Report: Financial Modeling, Valuation; GST Compliance Tool: Tally, SQL",Financial Analyst:4 months,5,Financial Analyst
B.Tech,Artificial Intelligence,8.0,71.8,87.2,"Data Analysis, PyTorch, Python","NLP:A,Deep Learning:A,Machine Learning:A-,Linear Algebra:B+","Disease Detection: Deep Learning, PyTorch, CNN",,9,Data Analyst
MCA,Artificial Intelligence,7.82,81.7,82.5,"Python, PyTorch, TensorFlow, Data Analysis","Statistics:B+,NLP:A,Linear Algebra:A+,Machine Learning:A,Deep Learning:A","Stock Price Predictor: Python, TensorFlow, LSTM; NLP Chatbot: Python, NLTK, Flask",Data Scientist:3 months; Data Scientist:3 months,4,Machine Learning Engineer
BCA,Information Technology,7.73,88.1,96.7,"SQL, AWS, Network Administration","Cloud Computing:A,Database Management Systems:B+,Cyber Security:A-","Portfolio Website: HTML, CSS, JavaScript, Tailwind; DevOps Pipeline: Jenkins, Docker, Kubernetes",DevOps Engineer:3 months,10,DevOps Engineer
B.Com,Finance,7.09,88.7,82.5,"Tally, GST, Excel","Accounting:A,Investment Analysis:A-,Financial Management:A+,Corporate Finance:A","Portfolio Optimization: Python, Excel, Statistics",Audit Assistant:5 months,3,Accountant
MCA,Data Science,9.31,95.8,82.3,"SQL, Python, R, Power BI","Linear Algebra:C,Statistics:A-,Big Data Analytics:B","E-commerce API: Node.js, Express, MongoDB",DevOps Engineer:4 months,4,Frontend Developer
MA,Information Technology,9.54,97.6,75.3,"Linux, AWS, Network Administration","Computer Networks:A-,Web Technologies:A,Database Management Systems:B","E-commerce API: Node.js, Express, MongoDB; DevOps Pipeline: Jenkins, Docker, Kubernetes",Backend Developer:3 months,4,Economist
M.Tech,Data Science,8.8,86.4,84.0,"Power BI, Tableau, SQL, Python, R","Data Mining:C,Linear Algebra:A,Statistics:A-,Big Data Analytics:C","NLP Chatbot: Python, NLTK, Flask",Data Analyst:5 months,8,Machine Learning Engineer
BA,Mechanical Engineering,8.54,82.2,78.6,"Manufacturing, MATLAB, SolidWorks","Solid Mechanics:A,Ansys:B,Thermodynamics:B,CAD/CAM:C","Portfolio Website: HTML, CSS, JavaScript, Tailwind",,3,UX Designer
BA,Civil Engineering,8.46,80.9,73.7,"Site Supervision, Project Management, Estimation","STAAD Pro:B+,Geotechnical Engineering:A,Structural Analysis:A,AutoCAD:C","DevOps Pipeline: Jenkins, Docker, Kubernetes; Task Management App: React, Redux, Firebase",Software Developer:5 months,3,Economist
BBA,Finance,8.46,93.3,74.9,"GST, Tally, Excel, Financial Modeling","Corporate Finance:A-,Investment Analysis:B,Accounting:A-,Financial Management:A","Portfolio Optimization: Python, Excel, Statistics",,10,Financial Analyst
BBA,Marketing,8.4,92.5,95.8,"SEO, Social Media, Google Analytics, Content Strategy","Digital Marketing:A,Market Research:B,Consumer Behavior:B+","E-commerce API: Node.js, Express, MongoDB; Task Management App: React, Redux, Firebase",Software Developer:5 months,2,Marketing Specialist
BA,Information Technology,8.4,79.9,86.5,"AWS, Linux, Network Administration, SQL","Cyber Security:B+,Web Technologies:C,Computer Networks:A-,Cloud Computing:C","Agile Product Launch: Jira, Scrum; Brand Revitalization: Marketing, Social Media",Marketing Intern:6 months; Marketing Intern:2 months,1,Business Analyst
M.Tech,Civil Engineering,7.89,87.3,96.5,"Site Supervision, Estimation, Project Management","Construction Management:A,Structural Analysis:B+,STAAD Pro:A-,AutoCAD:C","Smart City Drainage: STAAD Pro, Surveying; Bridge Design: AutoCAD, Structural Analysis",Quantity Surveyor:3 months,0,Construction Manager
B.Sc,Information Technology,9.4,72.8,90.7,"AWS, Network Administration, SQL, Linux","Computer Networks:C,Database Management Systems:B+,Web Technologies:A-,Cyber Security:A","Brand Revitalization: Marketing, Social Media; Market Entry Strategy: Research, Strategy",,5,Product Manager
M.Tech,Data Science,7.57,85.5,80.6,"Tableau, Power BI, R","Machine Learning:A,Data Mining:C,Statistics:C","Disease Detection: Deep Learning, PyTorch, CNN; Stock Price Predictor: Python, TensorFlow, LSTM",Data Analyst:1 months; Data Scientist:5 months,9,AI Engineer
B.Tech,Civil Engineering,9.18,76.1,91.8,"Project Management, Estimation, Site Supervision","STAAD Pro:A,Construction Management:C,Geotechnical Engineering:B+","Residential Complex Planning: Revit, Cost Estimation; Smart City Drainage: STAAD Pro, Surveying",,8,Structural Engineer
M.Tech,Computer Science,8.2,84.9,76.4,"Python, Java, Git, C++","Compiler Design:C,Data Structures and Algorithms:A,Computer Networks:C,Web Development:A-","Task Management App: React, Redux, Firebase; DevOps Pipeline: Jenkins, Docker, Kubernetes",DevOps Engineer:4 months; Frontend Developer:6 months,3,Backend Developer
B.Tech,Artificial Intelligence,9.08,93.3,80.4,"Data Analysis, TensorFlow, Python","Machine Learning:A,Linear Algebra:A,Deep Learning:A-,NLP:A-,Neural Networks:A-","Task Management App: React, Redux, Firebase; E-commerce API: Node.js, Express, MongoDB",Software Developer:4 months,0,DevOps Engineer
MCA,Data Science,8.09,71.0,89.8,"Tableau, R, SQL, Power BI, Python","Linear Algebra:A-,Big Data Analytics:B,Statistics:A-","Customer Segmentation: Python, Scikit-learn, K-means; NLP Chatbot: Python, NLTK, Flask",,9,Data Scientist
M.Sc,Finance,9.62,71.4,88.6,"GST, Excel, Tally, Financial Modeling","Corporate Finance:B,Risk Management:B,Investment Analysis:C,Accounting:A,Financial Management:A","Market Entry Strategy: Research, Strategy",,0,Product Manager
B.Tech,Data Science,7.27,89.6,85.9,"Python, SQL, Power BI","Big Data Analytics:A,Statistics:B+,Data Mining:B","DevOps Pipeline: Jenkins, Docker, Kubernetes",DevOps Engineer:5 months; Software Developer:6 months,6,Frontend Developer
BA,Human Resources,7.54,88.6,84.3,"Recruiting, Communication, Employee Relations","Performance Management:B+,Training and Development:B,Labor Laws:B","DevOps Pipeline: Jenkins, Docker, Kubernetes",DevOps Engineer:6 months,5,UX Designer
MA,Marketing,7.19,71.7,78.9,"Social Media, SEO, Google Analytics","Digital Marketing:A-,Brand Management:A,Market Research:B","Task Management App: React, Redux, Firebase; DevOps Pipeline: Jenkins, Docker, Kubernetes",,10,HR Manager
M.Sc,Marketing,7.56,75.6,73.7,"Social Media, Google Analytics, SEO, Content Strategy","Consumer Behavior:C,Market Research:A,Digital Marketing:B,Marketing Management:A-,Brand Management:A","Brand Revitalization: Marketing, Social Media",Product Management:1 months; Product Management:3 months,6,Business Analyst
MA,Human Resources,7.42,89.9,97.1,"Employee Relations, Recruiting, Communication","Training and Development:B+,HR Management:A,Performance Management:A-,Labor Laws:C","E-commerce API: Node.js, Express, MongoDB; Task Management App: React, Redux, Firebase",,4,Mechanical Engineer
B.Tech,Civil Engineering,9.2,91.8,77.7,"Site Supervision, Estimation, Project Management","Geotechnical Engineering:C,Construction Management:C,AutoCAD:A+,Structural Analysis:B+,STAAD Pro:A","Residential Complex Planning: Revit, Cost Estimation; Bridge Design: AutoCAD, Structural Analysis",Site Engineer:4 months; Structural Intern:6 months,0,Site Engineer
BA,Finance,9.68,82.6,72.5,"Financial Modeling, GST, Excel","Investment Analysis:B+,Financial Management:C,Risk Management:C,Accounting:A,Corporate Finance:A","Task Management App: React, Redux, Firebase; E-commerce API: Node.js, Express, MongoDB",DevOps Engineer:6 months,0,UX Designer
BCA,Information Technology,9.45,70.5,70.3,"Network Administration, AWS, Linux","Cyber Security:A-,Cloud Computing:B,Database Management Systems:A-,Computer Networks:C","Portfolio Website: HTML, CSS, JavaScript, Tailwind; Task Management App: React, Redux, Firebase",,8,Frontend Developer
MBA,Finance,9.37,93.2,74.2,"Excel, Tally, GST","Accounting:B,Investment Analysis:A-,Financial Management:A+,Corporate Finance:A-","GST Compliance Tool: Tally, SQL; Portfolio Optimization: Python, Excel, Statistics",Audit Assistant:3 months; Tax Consultant:6 months,3,Financial Analyst
MCA,Information Technology,9.4,83.6,79.4,"Linux, SQL, Network Administration, AWS","Cyber Security:B+,Web Technologies:C,Computer Networks:C,Cloud Computing:A-","NLP Chatbot: Python, NLTK, Flask; Stock Price Predictor: Python, TensorFlow, LSTM",Machine Learning Engineer:6 months; Data Scientist:3 months,7,Machine Learning Engineer
B.Tech,Information Technology,9.39,93.0,90.6,"SQL, Network Administration, AWS","Database Management Systems:B+,Computer Networks:A-,Web Technologies:B+,Cloud Computing:B,Cyber Security:C","Stock Price Predictor: Python, TensorFlow, LSTM; NLP Chatbot: Python, NLTK, Flask",,0,Data Analyst
M.Sc,Mechanical Engineering,7.28,90.2,87.6,"SolidWorks, MATLAB, Manufacturing","CAD/CAM:B,Fluid Mechanics:C,Solid Mechanics:B,Ansys:B+","DevOps Pipeline: Jenkins, Docker, Kubernetes",Frontend Developer:5 months; Software Developer:3 months,10,Economist
B.Tech,Computer Science,7.42,95.4,70.2,"System Design, Python, Java","Data Structures and Algorithms:C,Operating Systems:B,DBMS:A-,Computer Networks:B","Portfolio Website: HTML, CSS, JavaScript, Tailwind; E-commerce API: Node.js, Express, MongoDB",Frontend Developer:3 months,6,Frontend Developer
MCA,Information Technology,7.62,92.2,79.6,"Linux, AWS, Network Administration, SQL","Cyber Security:C,Computer Networks:B,Web Technologies:A","DevOps Pipeline: Jenkins, Docker, Kubernetes",,6,Full Stack Developer
MCA,Information Technology,8.96,74.6,96.7,"Network Administration, AWS, SQL","Computer Networks:A,Database Management Systems:A-,Web Technologies:A,Cyber Security:B,Cloud Computing:A","Stock Price Predictor: Python, TensorFlow, LSTM; Customer Segmentation: Python, Scikit-learn, K-means",Data Analyst:6 months; Data Analyst:2 months,8,Data Scientist
Diploma,Civil Engineering,8.58,74.3,80.1,"Site Supervision, Project Management, Estimation","AutoCAD:A+,Geotechnical Engineering:B+,STAAD Pro:A-","Residential Complex Planning: Revit, Cost Estimation",,4,Civil Engineer
BA,Civil Engineering,9.77,84.1,87.0,"Estimation, Site Supervision, Project Management","STAAD Pro:C,Structural Analysis:C,Construction Management:B+","Brand Revitalization: Marketing, Social Media",Business Analyst:2 months; Product Management:6 months,7,Product Manager
MA,Data Science,9.46,97.3,95.6,"Power BI, R, Tableau, SQL, Python","Big Data Analytics:B,Linear Algebra:C,Machine Learning:A,Data Mining:C","Portfolio Website: HTML, CSS, JavaScript, Tailwind; Task Management App: React, Redux, Firebase",,10,HR Manager
B.Sc,Economics,8.5,91.2,84.1,"Stata, Data Analysis, Economic Research","Statistics:A+,Public Finance:B+,Microeconomics:B+","Task Management App: React, Redux, Firebase; Portfolio Website: HTML, CSS, JavaScript, Tailwind",,1,Research Analyst
BA,Human Resources,9.76,86.5,90.6,"Employee Relations, Communication, Recruiting","Labor Laws:B+,Training and Development:B+,HR Management:B,Performance Management:A-","E-commerce API: Node.js, Express, MongoDB; Task Management App: React, Redux, Firebase",Frontend Developer:5 months,10,UX Designer
B.Tech,Artificial Intelligence,9.06,78.3,88.5,"Python, Data Analysis, PyTorch, TensorFlow","Deep Learning:A+,Neural Networks:A,Statistics:C,Linear Algebra:A","NLP Chatbot: Python, NLTK, Flask",Data Analyst:6 months,10,AI Engineer
M.Tech,Information Technology,7.55,95.2,74.3,"SQL, Linux, AWS, Network Administration","Cloud Computing:A-,Database Management Systems:C,Computer Networks:B","DevOps Pipeline: Jenkins, Docker, Kubernetes; E-commerce API: Node.js, Express, MongoDB",Backend Developer:6 months,0,Full Stack Developer
BCA,Information Technology,8.68,85.2,77.2,"SQL, Network Administration, AWS, Linux","Computer Networks:B,Web Technologies:B+,Cloud Computing:C,Cyber Security:C","Disease Detection: Deep Learning, PyTorch, CNN",,0,Data Scientist
B.Tech,Data Science,9.48,90.9,78.7,"Tableau, SQL, R, Power BI, Python","Statistics:B+,Data Mining:A,Linear Algebra:A","E-commerce API: Node.js, Express, MongoDB",,5,Software Engineer
M.Com,Finance,9.1,89.4,79.9,"Excel, Financial Modeling, Tally","Accounting:B,Investment Analysis:A-,Financial Management:A","Risk Analysis Report: Financial Modeling, Valuation; Portfolio Optimization: Python, Excel, Statistics",,3,Accountant
B.Tech,Data Science,8.71,79.7,94.8,"Python, SQL, Tableau, R","Statistics:A-,Linear Algebra:A-,Data Mining:B,Big Data Analytics:B+","Disease Detection: Deep Learning, PyTorch, CNN; Customer Segmentation: Python, Scikit-learn, K-means",Data Scientist:5 months; Machine Learning Engineer:6 months,1,AI Engineer
B.Sc,Data Science,8.62,87.7,96.2,"Power BI, Tableau, Python, SQL","Data Mining:A,Statistics:A-,Machine Learning:A-,Linear Algebra:A,Big Data Analytics:B","Brand Revitalization: Marketing, Social Media; Market Entry Strategy: Research, Strategy",Business Analyst:5 months,9,Business Analyst
B.Tech,Computer Science,8.66,76.6,93.0,"C++, Java, Git","Computer Networks:B+,DBMS:A-,Operating Systems:B+,Data Structures and Algorithms:B","NLP Chatbot: Python, NLTK, Flask; Disease Detection: Deep Learning, PyTorch, CNN",Data Analyst:2 months,7,Machine Learning Engineer
Diploma,Civil Engineering,9.15,74.6,93.2,"Estimation, Project Management, Site Supervision","Construction Management:A-,Geotechnical Engineering:A-,STAAD Pro:A,AutoCAD:A-","Bridge Design: AutoCAD, Structural Analysis; Residential Complex Planning: Revit, Cost Estimation",Quantity Surveyor:4 months,1,Structural Engineer
B.Tech,Computer Science,9.48,76.7,73.4,"Git, Python, C++, Java, System Design","Computer Networks:A,Web Development:B,Compiler Design:B+","Disease Detection: Deep Learning, PyTorch, CNN",Machine Learning Engineer:2 months; Machine Learning Engineer:5 months,5,Data Scientist
BA,Mechanical Engineering,8.5,71.5,91.5,"MATLAB, SolidWorks, Manufacturing","Fluid Mechanics:A,Solid Mechanics:B+,Thermodynamics:B,Ansys:C","Task Management App: React, Redux, Firebase; DevOps Pipeline: Jenkins, Docker, Kubernetes",Frontend Developer:5 months; DevOps Engineer:3 months,5,Teaching Professional
M.Tech,Civil Engineering,9.18,83.9,89.5,"Site Supervision, Project Management, Estimation","AutoCAD:A-,Structural Analysis:B,Geotechnical Engineering:B+,STAAD Pro:A,Construction Management:B+","Smart City Drainage: STAAD Pro, Surveying",Quantity Surveyor:3 months; Quantity Surveyor:4 months,9,Civil Engineer
BA,Marketing,8.75,93.9,85.3,"Content Strategy, Google Analytics, SEO","Digital Marketing:A,Marketing Management:B,Market Research:A-","Task Management App: React, Redux, Firebase",,1,HR Manager
B.Tech,Data Science,7.39,96.1,94.1,"Power BI, Python, SQL","Linear Algebra:A-,Data Mining:B+,Big Data Analytics:B+,Machine Learning:A-","Portfolio Website: HTML, CSS, JavaScript, Tailwind",Backend Developer:3 months; DevOps Engineer:2 months,9,Software Engineer
MA,Civil Engineering,8.28,80.7,80.9,"Project Management, Estimation, Site Supervision","Structural Analysis:A-,AutoCAD:C,Construction Management:B+","Portfolio Website: HTML, CSS, JavaScript, Tailwind; DevOps Pipeline: Jenkins, Docker, Kubernetes",,5,HR Manager
M.Sc,Economics,8.11,78.4,93.4,"Stata, Data Analysis, Economic Research","Microeconomics:A-,Econometrics:C,Public Finance:B+,Macroeconomics:A-,Statistics:A-","Portfolio Website: HTML, CSS, JavaScript, Tailwind; E-commerce API: Node.js, Express, MongoDB",Backend Developer:5 months; Software Developer:6 months,7,HR Manager
B.Tech,Information Technology,7.41,95.4,75.0,"Network Administration, SQL, AWS","Computer Networks:C,Web Technologies:A-,Cyber Security:B+,Database Management Systems:B,Cloud Computing:A","Portfolio Website: HTML, CSS, JavaScript, Tailwind; Task Management App: React, Redux, Firebase",,4,DevOps Engineer
B.Sc,Civil Engineering,7.66,77.6,93.9,"Estimation, Site Supervision, Project Management","AutoCAD:A,Geotechnical Engineering:C,Structural Analysis:C,Construction Management:B","Task Management App: React, Redux, Firebase; Portfolio Website: HTML, CSS, JavaScript, Tailwind",DevOps Engineer:3 months,0,HR Manager
BCA,Computer Science,7.97,88.6,81.3,"Python, C++, Java, System Design","DBMS:B,Web Development:B,Computer Networks:C,Compiler Design:B+,Operating Systems:C","E-commerce API: Node.js, Express, MongoDB",,5,Software Engineer
M.Tech,Artificial Intelligence,9.56,72.6,76.5,"Data Analysis, PyTorch, Python","Neural Networks:A,Deep Learning:A-,Machine Learning:B","E-commerce API: Node.js, Express, MongoDB",DevOps Engineer:5 months,5,DevOps Engineer
B.Tech,Information Technology,7.01,88.1,91.9,"AWS, Linux, Network Administration, SQL","Web Technologies:B,Computer Networks:A-,Cloud Computing:C,Database Management Systems:C","E-commerce API: Node.js, Express, MongoDB; DevOps Pipeline: Jenkins, Docker, Kubernetes",Backend Developer:5 months; Backend Developer:6 months,10,Full Stack Developer
MCA,Information Technology,7.5,88.3,96.7,"Network Administration, AWS, SQL, Linux","Computer Networks:C,Database Management Systems:B,Cloud Computing:A-,Cyber Security:C","Task Management App: React, Redux, Firebase; Portfolio Website: HTML, CSS, JavaScript, Tailwind",,7,Software Engineer
B.Sc,Information Technology,8.17,85.1,82.0,"AWS, Network Administration, Linux, SQL","Database Management Systems:B,Cyber Security:C,Cloud Computing:B+,Web Technologies:B+,Computer Networks:C","Agile Product Launch: Jira, Scrum",,0,Business Analyst
M.Tech,Data Science,7.92,94.2,97.1,"Python, SQL, Tableau","Statistics:A,Machine Learning:A+,Big Data Analytics:A-","NLP Chatbot: Python, NLTK, Flask; Customer Segmentation: Python, Scikit-learn, K-means",,4,Data Scientist
BA,Mechanical Engineering,8.94,76.1,87.6,"MATLAB, SolidWorks, Manufacturing","Solid Mechanics:C,Fluid Mechanics:A-,Ansys:A-,Thermodynamics:A-,CAD/CAM:A","Brand Revitalization: Marketing, Social Media",Product Management:1 months,3,Product Manager
BA,Mechanical Engineering,7.04,97.2,92.5,"MATLAB, SolidWorks, Manufacturing","CAD/CAM:B+,Fluid Mechanics:A,Solid Mechanics:B","Task Management App: React, Redux, Firebase",,4,HR Manager
B.Tech,Civil Engineering,9.3,75.5,77.1,"Project Management, Estimation, Site Supervision","Geotechnical Engineering:A,STAAD Pro:B,AutoCAD:C","Smart City Drainage: STAAD Pro, Surveying; Residential Complex Planning: Revit, Cost Estimation",,2,Construction Manager
BA,Information Technology,9.1,78.4,97.5,"Linux, Network Administration, SQL, AWS","Web Technologies:B+,Cloud Computing:A,Computer Networks:A,Cyber Security:B+","Task Management App: React, Redux, Firebase",Frontend Developer:5 months,6,Mechanical Engineer
M.Tech,Information Technology,7.72,92.0,88.6,"Network Administration, SQL, Linux, AWS","Computer Networks:A-,Database Management Systems:B,Web Technologies:A-,Cyber Security:A-","Disease Detection: Deep Learning, PyTorch, CNN",,5,AI Engineer
B.Sc,Human Resources,8.14,90.6,80.7,"Communication, Recruiting, Employee Relations","Labor Laws:B+,Performance Management:C,Training and Development:A,HR Management:A-","Market Entry Strategy: Research, Strategy",Marketing Intern:5 months,0,Product Manager
MA,Mechanical Engineering,8.51,97.6,88.7,"SolidWorks, MATLAB, Manufacturing","CAD/CAM:B,Thermodynamics:A,Fluid Mechanics:C","Brand Revitalization: Marketing, Social Media; Market Entry Strategy: Research, Strategy",Business Analyst:2 months,0,Business Analyst
BBA,Finance,9.67,77.0,74.3,"GST, Tally, Excel, Financial Modeling","Accounting:C,Corporate Finance:A,Financial Management:A-,Investment Analysis:B+,Risk Management:C","GST Compliance Tool: Tally, SQL; Risk Analysis Report: Financial Modeling, Valuation",Tax Consultant:6 months; Tax Consultant:5 months,8,Financial Analyst
M.Tech,Data Science,8.66,92.1,87.0,"Python, R, Tableau, Power BI","Linear Algebra:A+,Machine Learning:A-,Statistics:A,Big Data Analytics:A","Customer Segmentation: Python, Scikit-learn, K-means",,10,AI Engineer
MBA,Marketing,9.51,92.6,82.9,"SEO, Content Strategy, Google Analytics","Marketing Management:A,Market Research:B,Digital Marketing:A-,Brand Management:B+","Portfolio Website: HTML, CSS, JavaScript, Tailwind",Backend Developer:2 months; Frontend Developer:1 months,1,Marketing Specialist
BA,Information Technology,7.91,92.2,89.8,"SQL, AWS, Linux","Cloud Computing:B+,Computer Networks:B,Database Management Systems:A-,Cyber Security:B,Web Technologies:B","E-commerce API: Node.js, Express, MongoDB",Frontend Developer:5 months; Backend Developer:5 months,9,Teaching Professional
BA,Civil Engineering,8.19,75.2,75.4,"Estimation, Site Supervision, Project Management","STAAD Pro:B,Geotechnical Engineering:C,Structural Analysis:A-","DevOps Pipeline: Jenkins, Docker, Kubernetes",Frontend Developer:4 months; Software Developer:6 months,6,Mechanical Engineer
MA,Finance,8.21,73.7,77.9,"Tally, GST, Excel, Financial Modeling","Investment Analysis:A-,Financial Management:C,Corporate Finance:A-","Market Entry Strategy: Research, Strategy; Brand Revitalization: Marketing, Social Media",Product Management:3 months; Business Analyst:2 months,2,Business Analyst
B.Tech,Artificial Intelligence,7.42,95.1,88.4,"Data Analysis, Python, TensorFlow, PyTorch","Neural Networks:A,Linear Algebra:A,NLP:B+,Deep Learning:A,Machine Learning:A-","Customer Segmentation: Python, Scikit-learn, K-means; NLP Chatbot: Python, NLTK, Flask",Machine Learning Engineer:6 months,1,Data Scientist
B.Sc,Finance,7.88,94.0,86.7,"GST, Financial Modeling, Excel, Tally","Corporate Finance:B,Risk Management:B,Financial Management:B,Accounting:B+,Investment Analysis:C","E-commerce API: Node.js, Express, MongoDB",DevOps Engineer:5 months; Frontend Developer:5 months,2,Research Analyst
M.Tech,Civil Engineering,8.56,89.2,73.3,"Estimation, Site Supervision, Project Management","Structural Analysis:B,Construction Management:A-,STAAD Pro:A+","Smart City Drainage: STAAD Pro, Surveying; Residential Complex Planning: Revit, Cost Estimation",,2,Civil Engineer
B.Sc,Civil Engineering,9.36,92.6,83.5,"Site Supervision, Estimation, Project Management","Structural Analysis:B+,Construction Management:A,Geotechnical Engineering:A","Portfolio Website: HTML, CSS, JavaScript, Tailwind",Frontend Developer:3 months,3,Economist
M.Tech,Data Science,8.92,82.5,73.6,"Power BI, SQL, R, Python","Machine Learning:A-,Data Mining:A,Big Data Analytics:B+","Portfolio Website: HTML, CSS, JavaScript, Tailwind; E-commerce API: Node.js, Express, MongoDB",,3,DevOps Engineer
MCA,Artificial Intelligence,8.31,73.8,96.3,"PyTorch, TensorFlow, Data Analysis, Python","Linear Algebra:A-,Deep Learning:A+,Statistics:C","Customer Segmentation: Python, Scikit-learn, K-means; Disease Detection: Deep Learning, PyTorch, CNN",,0,Machine Learning Engineer
B.Tech,Civil Engineering,8.5,75.6,73.1,"Project Management, Estimation, Site Supervision","STAAD Pro:A+,AutoCAD:A,Construction Management:A,Structural Analysis:B+","Bridge Design: AutoCAD, Structural Analysis; Residential Complex Planning: Revit, Cost Estimation",Structural Intern:2 months; Quantity Surveyor:4 months,7,Civil Engineer
BA,Information Technology,7.04,89.5,77.5,"Network Administration, Linux, AWS","Cyber Security:B,Computer Networks:A,Database Management Systems:A-","Task Management App: React, Redux, Firebase",DevOps Engineer:6 months,6,Teaching Professional
B.Sc,Data Science,7.27,96.5,79.3,"Tableau, Python, Power BI","Machine Learning:A,Linear Algebra:A-,Big Data Analytics:A-,Statistics:A+,Data Mining:A","E-commerce API: Node.js, Express, MongoDB",Software Developer:5 months,4,Research Analyst
BCA,Artificial Intelligence,9.08,75.2,76.7,"TensorFlow, PyTorch, Python, Data Analysis","Neural Networks:C,Linear Algebra:B+,Machine Learning:B+,NLP:B,Deep Learning:A-","Task Management App: React, Redux, Firebase; Portfolio Website: HTML, CSS, JavaScript, Tailwind",,1,Frontend Developer
MCA,Computer Science,8.88,74.0,88.3,"C++, Java, Python","Computer Networks:C,Compiler Design:A,Data Structures and Algorithms:B+,Web Development:B","Customer Segmentation: Python, Scikit-learn, K-means; Disease Detection: Deep Learning, PyTorch, CNN",,4,Data Analyst
B.Tech,Computer Science,8.7,70.7,96.0,"System Design, Git, Java, Python, C++","DBMS:A-,Operating Systems:A,Compiler Design:C,Data Structures and Algorithms:A-,Web Development:B+","DevOps Pipeline: Jenkins, Docker, Kubernetes; Task Management App: React, Redux, Firebase",Frontend Developer:6 months; Frontend Developer:4 months,8,Software Engineer
B.Tech,Civil Engineering,9.13,81.4,95.8,"Estimation, Site Supervision, Project Management","Structural Analysis:A-,STAAD Pro:A+,AutoCAD:A+","Residential Complex Planning: Revit, Cost Estimation; Smart City Drainage: STAAD Pro, Surveying",Site Engineer:2 months,0,Civil Engineer
B.Tech,Civil Engineering,7.19,77.6,72.6,"Project Management, Estimation, Site Supervision","STAAD Pro:A-,Construction Management:A-,AutoCAD:C,Geotechnical Engineering:A-","Residential Complex Planning: Revit, Cost Estimation; Bridge Design: AutoCAD, Structural Analysis",Quantity Surveyor:1 months,0,Construction Manager
BCA,Computer Science,7.99,76.4,79.3,"Java, Python, System Design","Operating Systems:C,Data Structures and Algorithms:A-,Web Development:C,Computer Networks:B+","Customer Segmentation: Python, Scikit-learn, K-means; Disease Detection: Deep Learning, PyTorch, CNN",,0,AI Engineer
